Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
Sssh!	Wright Group	F	Dark Blue	90	5	4	4	49	
Stables are for horses	Windmill Books	F	Green	40	5	8	8		
Star and Patches	Rigby	F	Red	39	7	19	19		
Starring First Grade	Cohen	F	Yellow	5	9	18	20	250	
Stone Fox	Gardiner	F	Light Blue	74	6	38	38		
Stone Soup	Scholastic	F	Red	22	1	18	20		
Stop the Frogs!	Electronic Education	F	Green						
Stop!	Rigby	F	Dark Blue	23	42	2	2	90	
Stop, Look and Listen	Literacy Tree	F	Green	60	4	10	10	101	
Stop, Look and Listen	Rigby	F	Orange		4				
Stop, Look, and Listen	Literacy Tree	F	Green		4	10	10	101	
Stories Julian Tells	Scholastic	F	Yellow	124	5	30	34		
Storm!	The Wright Group		Green	35 a	3			49	
Storm, The	Literacy 2000	F	Green						
Stormy, Misty's Foal	Scholastic	F	Lime	15	2	40	40		
Story Sticks	Harcourt Brace	F	Green		1				
Stuart Little: Stuart Finds His Way Home	Harper Trophy	F	Red	11	4	16	17		
Sugar Cakes Cyril	Book Shop	F	Yellow	27	20	22	22		
Summer Friends	Perfection Learning	F	Lime	34	11	40	40		
Summer Fun	Literacy 2000	F	Green	18	3	6	6	30	
Summer Shepherd	Perfection Learning	F	Lime	18	5				
Summertime	Rigby	F	Green	1	3	1	1		
Sunrise	Literacy Tree	F	Dark Blue	52	23	3	3	47	
Sunshine	Children's Press	F	Dark Blue	32	1				
Sunshine, the Black Cat	Dominie Collection	F	Orange		10				
Supa Doopers -  The Case of the Disappearing Bones	Sundance	F	Yellow	14	14	21	21		
Supa Doopers - A Problem in the Palace	Sundance	F	Yellow	54	5	23	23		
Supa Doopers - Alroy's Very Nearly Clean Bedroom	Sundance	F	Yellow	15	10	21	21		
Supa Doopers - Brain in a Box	Sundance	F	Yellow	52	5	23	23		
Supa Doopers - Bull Harris and the Purple Ooze	Sundance	F	Yellow	16	10	21	21		
Supa Doopers - Buster and the Pet Detectives	Sundance	F	Yellow	114	1	28	28		
Supa Doopers - Castle Rock	Sundance	F	Yellow	52	4	23	23		
Supa Doopers - Dragon Trouble	Sundance	F	Yellow	114	6	28	28		
Supa Doopers - Dunkin' Dazza's Soaring Slammer	Sundance	F	Yellow	115	15	28	28		
Supa Doopers - Fish for Sale	Sundance	F	Yellow	49	5	21	22		
Supa Doopers - Flying High	Sundance	F	Yellow	114	5	28	28		
Supa Doopers - Frizz	Sundance	F	Yellow	52	6	23	23		
Supa Doopers - Green with Red Spots Horrible	Sundance	F	Yellow	114	1	28	28		
Supa Doopers - Joe Cocker Spaniel 	Sundance	F	Yellow	55	1	23	24		
Supa Doopers - King Arthur and the Square Table	Sundance	F	Yellow	114	1	28	28		
Supa Doopers - Last Chance Cabin	Sundance	F	Yellow	116	2	28	28		
Supa Doopers - Looking for Dad	Sundance	F	Yellow	114	5	28	28		
Supa Doopers - Lucky Last Luke	Sundance	F	Yellow	56	6	23	23		
Supa Doopers - My Teacher Turns into a Tyrannosaurus	Sundance	F	Yellow	17	10	21	21		
Supa Doopers - My Weird Mother	Sundance	F	Yellow	53	5	23	23		
Supa Doopers - Rachel to the Rescue	Sundance	F	Yellow	115	12	28	28		
Supa Doopers - Rachel Wrecks a Wedding	Sundance	F	Yellow	54	5	23	23		
Supa Doopers - Rodney the Surfing Duck	Sundance-Supa Doopers	F	Yellow	56	4	23	23		
Supa Doopers - Rosa and Fredo	Sundance	F	Yellow	56	5	23	23		
Supa Doopers - Scritch! Scratch!	Sundance	F	Yellow	116	1	28	30		
Supa Doopers - Second Story Sally	Sundance	F	Yellow	14	6	21	21		
Supa Doopers - Snow Bright and the Seven Sumos	Sundance	F	Yellow	55	6	23	23		
Supa Doopers - The Big Chase	Sundance	F	Yellow	55	5	23	23		
Supa Doopers - The King who Gobbled His Dinner	Sundance	F	Yellow	17	5	21	21		
Supa Doopers - The Mummy's Curse	Sundance	F	Yellow	54	3	23	23		
Supa Doopers - The Trouble with Parents	Sundance	F	Yellow	16	12	21	21		
Supa Doopers - The Wreckers	Sundance	F	Yellow	116	5	28	28		
Supa Doopers - Tom and the Terrible Crankyshanks	Sundance	F	Yellow	116	4	28	28		
Supa Doopers - Trapped	Sundance	F	Yellow	116	9	28	28		
Supa Doopers - TroubleMaker	Sundance	F	Yellow	56	6	23	24		
Supa Doopers - Wild Abbie	Sundance	F	Yellow	18	6	21	21		
Supa Doopers - Zelda the Queen	Sundance	F	Yellow	55	5	23	23		
Supa Doopers Creepy McPhee	Sundance	F	Yellow	14	3	21	22		
Supa Doopers Holly & Mac	Sundance	F	Yellow	59	6	23	24		
Supa Doopers In a Pickle	Sundance	F	Yellow	56	6	23	24		
Supa Doopers My Brother the Spy	Sundance	F	Yellow	56	3	23	24		
Supa Doopers My Dog F.I.D.O.	Sundance	F	Yellow	3	5	18	20		
Supa Doopers Princess Euphorbia	Sundance	F	Yellow	54	2	23	24		
Supa Doopers Rollerama	Sundance	F	Yellow	2	9	18	20		
Supa Doopers Scritch! Scratch	Sundance	F	Yellow	114	3	28	30		
Supa Doopers Simon and the Aliens	Sundance	F	Yellow	114	4	28	30		
Supa Doopers Snow Bright and the Tooth Magician	Sundance	F	Yellow	116	4	28	28		
Supa Doopers The Frogs of Betts	Sundance	F	Yellow	58	5	23	24		
Supa Doopers The Mystery of Talking Tall	Sundance	F	Yellow	1	12	18	20		
Supa Doopers Tricksters	sundance	F	Yellow	57	4	23	24		
Supa Doopers Wedding Day Disaster	Sundance	F	Yellow	57	5	23	24		
Super Sandwich	Sundance	F	Green	40	6	7	8		
Superfudge	Blume	F	Lime	7	16	40	40		
Supernova	Rigby	F	Yellow	112	18	28	28		
Super-tuned	Rigby	F	Yellow	87	4	26	26		
Susie Goes Shopping	Troll Associates	F	Green	52	7	9	10		
Swat it!	Kaeden Group	F	Green	2	3	5	5	46	
Swimming Across the pool	Rigby	F	Red	18	4	17	17		
Swimming with a dragon	Rigby PM	F	Orange	44A	5	14	14		
Swoop	Rigby	F	Red	11	4	16	16		
T.J.'s Tree	Literacy 2000	F	orange	20	2	12	12	77	
Tabby in the tree	Rigby PM	F	Green	64	7	10	10	200	
Tails	Literacy 2000	F	Green	48	6	9	10	47	
Tails and Claws	Wright Group	nF	Dark Blue	80	6	4	4		
Take, a Bow, Jody	Seedling Pub	F	Dark Blue	102	5	5	6	78	
Taking Care of Rosie	Seedling Publication	F	Green	32	5	7	8	61	
Taking Pictures	Alpha Kids	F	Green	15A	6	6	6	137	
Talent Night at School	Sundance	F	Green	40	1	8	9		
Tales From Silver Lands	Scholastic	F	Neon Red	20	6	60	60		
Tales of a Fourth Grade Nothing	Blume	F	Lime	57	27	40	40		
Tales of China	Perfection Learning	F	Light Blue	bk wall					
Tales of Detectives	Perfection Learning	F	Lime	50	8	40	40		
Tales of Edgar Allan Poe	Perfection Learning	F	Light Blue	5	1	50	50		
Tales of Edgar Allen Poe	Perfection Learning	F	Light Blue	25	3				
Tales of Fate	Perfection Learning	F	Lime	Tales	1	45	45		
Tales of Fate	Perfection Learning	F	Yellow	18					
Tales of Greek Mythology	Perfection Learning	F	Purple	Tales Bx 1	1	50	50		
Tales of Jack London	Perfection Learning	F	Light Blue	25	7				
Tales of Louisa May Alcott	Perfection Learning	F	Light Blue	25	5				
Tales of Mark Twain	Perfection Learning	F	Light Blue	25	6				
Tales of Sherlock Holmes	Perfection Learning	F	Light Blue	25	6				
Tales of the Civil War	Perfection Learning	F	Light Blue	bk wall					
Tales of Washington Irving	Perfection Learning	F	Light Blue	25	1				
Tales of William Shakespeare	Perfection Learning	F	Lime	26	5	49	49		
Talk About a Family	Scholastic	F	Light Blue	82	20	38	38		
Tall Shadow - A Navajo Boy	Perfection Learning	F	Lime	28	7	40	40		
Tall Tales	Literacy Tree	F	Red	8		16	16	139	
Tall Tales	Rigby	F	Yellow	78	3	25	25		
Taste of Blackberries	HarperTrophy	F	Lime	29	4				
Teacher's Choice Series -  Outside, Inside	Dominie Collection	F	Green	21	2	5	6	97	
Teacher's Choice Series - Animals at the Mall	Dominie Collection	F	Green	5a	4	5	6	49	
Teacher's Choice Series - At Grandma's House	Dominie Collection	F	Green	4	6	5	6	66	
Teacher's Choice Series - At the Park	Dominie Collection	F	Green	5	5	5	6	74	
Teacher's Choice Series - Ben Ate It 	Dominie Collection	F	Green	33	6	7	8	130	
Teacher's Choice Series - Birds Need Trees	Dominie Collection	F	Green	5	2	5	6	63	
Teacher's Choice Series - Frogs On A Log	Dominie Collection	F	Green	5	4	5	6	75	
Teacher's Choice Series - Harry's Hats	Dominie Collection	F	Green	5	6	5	6	49	
Teacher's Choice Series - Helping My Dad	Dominie Collection	F	Green	5a	6	5	6	90	
Teacher's Choice Series - How are We the Same?	Dominie Collection	F	Green	5a	6	5	6	100	
Teacher's Choice Series - I Can Help 	Domine Collection	F	Green	5a	5	5	6	65	
Teacher's Choice Series - I Can Use the Computer	Dominie Collection	F	Green	7	6	5	6	52	
Teacher's Choice Series - I Like My Picture! 	Dominie Collection	F	Green	5	5	5	6	160	
Teacher's Choice Series - I Want to Be a Ballerina	Dominie Collection	F	Green	5	3	5	6	66	
Teacher's Choice Series - If Horses Could Talk 	Dominie Collection	F	Green	32	5	7	8	32	
Teacher's Choice Series - I'm Telling	Dominie Collection	F	Green	33	6	7	8	71	
Teacher's Choice Series - It's Raining	Dominie Collection	F	Green	33	3	7	8	86	
Teacher's Choice Series - Later	Dominie Collection	F	Green	7	6	5	6	106	
Teacher's Choice Series - Let's Eat	Domine Collection	F	Green	32	6	7	8	65	
Teacher's Choice Series - Looking at Baby Animals	Dominie Collection	F	Green	32	4	7	8	54	
Teacher's Choice Series - My Special Place	Dominie Collection	F	Green	32	6	6	7	116	
Teacher's Choice Series - Pinata Time	Dominie Collection	F	Green	7	5	5	6	71	
Teacher's Choice Series - Practice Makes Perfect	Dominie Collection	F	Green	4	5	5	6	111	
Teacher's Choice Series - Saturday Morning Breakfast	Dominie Collection	F	Green	33	6	7	8	65	
Teacher's Choice Series - So Do I 	Dominie Collection	F	Green	4	4	5	6	49	
Teacher's Choice Series - The Bad Day 	Dominie Collection	F	Green	5a	6	5	6	93	
Teacher's Choice Series - The Bad Dream	Dominie Collection	F	Green	32	2	7	8	88	
Teacher's Choice Series - The Home Run	Dominie Collection	F	Green	32	4	7	8	92	
Teacher's Choice Series - Things That Drag Behind	Dominie Collection	F	Green	4	5	5	6	42	
Teacher's Choice Series - What Did I Forget?	Domine Collection	F	Green	5a	1	5	6	43	
Teacher's Choice Series - Who Likes to Swim?	Dominie Collection	F	Green	6	6	5	6	100	
Teacher's Choice Series - Who Made These Tracks?	Dominie Collection	F	Green	5a	6	5	6	45	
Teacher's Choice Series- All About Dinosaurs	Dominie Collection	F	Green	56	1				
Teacher's Choice Series- Are You the New Principal?	Dominie Collection	F	Green	39	3	7	8	120	
Teacher's Choice Series- Bad Hair Day	Dominie Collection	F	Green		6				
Teacher's Choice Series- First In Line	Dominie Collection	F	Green	4	4	5	6	77	
Teacher's Choice Series- Follow the Leader	Dominie Collection	F	Green	4	6	5	6	75	
Teacher's Choice Series- Hoofprints	Dominie Collection	F	Green	10	3	5	6	62	
Teacher's Choice Series- I Love You	Dominie Collection	F	Green	40	6	7	8	121	
Teacher's Choice Series- It's Taco Time	Dominie Collection	F	Green		2	9	10	56	
Teacher's Choice Series- March, March, Marching	Dominie Collection	F	Green	7	5	4	5	60	
Teacher's Choice Series- One Day	Dominie Collection	F	Green	56	1				
Teacher's Choice Series- Outside, Inside	Dominie Collection	F	Green	5	2	5	6	97	
Teacher's Choice Series- Pictures	Dominie Collection	F	Green	32	6	7	8	76	
Teacher's Choice Series- Places	Dominie Collection	F	Dark Blue	61	4	3	4	76	
Teacher's Choice Series- Silly Cat Tricks	Dominie Collection	F	Green	5	7	5	6	83	
Teacher's Choice Series- Some Days Are Like That	Dominie Collection	F	Green	5a	3	5	6	69	
Teacher's Choice Series- Stories of Me	Dominie Collection	F	Green	13	1	5	6	80	
Teacher's Choice Series- The Big Barn	Dominie Collection	F	Green	56	1				
Teacher's Choice Series- The Picnic	Dominie Collection	F	Green	56	1				
Teacher's Choice Series- The Reading Lesson	Dominie Collection	F	Green	56	6				
Teacher's Choice Series -Trouble	Dominie Collection	F	Green	33	6	7	8	113	
Teacher's Choice Series- Two Plus Two	Dominie Collection	F	Green	56	1				
Teacher's Choice Series -What Time Is It?	Teacher's Choice Series	F	Green	56	39	7	8		
Teacher's Choice Series- When It Rains	Dominie Collection	F	Dark Blue	76c	5	3	4	37	
Teacher's Choice Series- Where Did They Go?	Dominie Collection	F	Green	7	6	5	6	102	
Teacher's Choice Series- Where Will I Sit?	Dominie Collection	F	Green	56	5				
Teacher's Choice Series- Yes, It Does	Dominie Collection	F	Green	6	6	5	6	91	
Teacher's Choice Series-Practice Makes Perfect	Teacher's Choice Series	F	Green	56					
Teacher's Pet	Hurwitz	F	Light Blue	42	3				
Teacher's Pet	Scholastic - Dicks	F	Light Blue	42	2				
Teacher's Pet	Houghton Mifflin	F	Orange	nm1	5				
Teacher's Pet	Houghton Mifflin	F	Orange		5				
Teacher's Pet 	Scholastic	F	Lime	39	3				
Teasing Dad	Rigby	F	Green	53	2	10	10	158	
Teasing Mom	Rigby	F	Orange	45A	1	14	14		
Teeny Tiny Tina	Literacy 2000	F	Dark Blue	52	28	3	3	34	
Tell Me A Mitzi	Scholastic	F	Light Blue	75	5	38	38		
Ten little garden snails	Rigby	F	Orange	30	3	13	13		
Ten Loopy Caterpillars	Shortland Publications	F	Red	10	1	16	16		
Ten, Nine, Eight 	Scholastic Molly Bang	F	Orange	36	10	13	14		
Thanksgiving	Kaeden Group	F	Green	43	1	9	9	75	
That Fly	Ready Readers	F	Dark Blue	60	6	3	3	26	
That's a Laugh!	Literacy 2000	F	Yellow	108	4	28	30	250	
That's Not Our Dog	Rigby	F	Red	13	3	17	17		
The  Shoemaker and the Elves 	Sundance Alpha Kids	F	Orange	tales	6	14	14	251	
The Adventures of Granny Gatman	Dominie	F	Red	70	5	20	20		
The Adventures of Minnie and Max - Mary Moon is Missing	Giff	F	Light Blue	19	9				
The Amazing Race	Rigby	F	Dark Blue	6	1	1	1	28	
The Animals Went to Bed	Rigby	F	Dark Blue	40	8	2	2	32	
The Ant and the Dove	Rigby	F	Orange	tales	1	16	16	255	
The Ant and the Grasshopper	Literacy Tree	F	Red	60	4	20	20	250	
The Art Teacher from the Black Lagoon	Scholastic	F	Yellow	108	1	28	28		
The Baby	Harcourt Brace	F	Dark Blue	5	1	1	1	29	
The Baby	Gage	F	Red	nm1	1				
The baby owls	Rigby PM	F	Dark Blue	70	17	3	4	90	
The Babysitter	Rigby	F	Orange	33	1	14	14	243	
The Baby-sitters Club - Little Sister #4	Scholastic - Martin	F	Light Blue	65	1				
The Baby-sitters Club - Super Mystery #2	Scholastic - Martin	F	Light Blue	65	1				
The Baby-sitters Club #48	Scholastic - Martin	F	Light Blue	65	3				
The BabySitters's Club Super Mystery #2	Scholastic	F	Lime	29					
The Bad Day	Dominie Collection	F	Orange		5				
The Bad Day	Teacher's Choice Series	F	Orange						
The Ball Game	Literacy 2000	F	Dark Blue	22	4	2	2	16	
The Ballad of Robin Hood	Rigby	F	Yellow	108	5	28	30	250	
The Bang	Literacy Tree	F	Green	32	3				
The Barnaby's New House	Literacy Tree	F	Orange	6	2	11	11	135	
The beach house	Rigby PM	F	Green	44	4	9	9		
The Bear and the Bees	Rigby	F	Red	41	4	19	19		
The Bear Collection	Rigby	F	Yellow	111	13	28	28		
The bears and the magpie	Rigby PM	F	Orange	13	12	12	12		
The Bears' Picnic	Wright Group	F	Green	28a	2	7	8		
The Bees	Electronic Education	F	Orange						
The BerenstainBears Get the Gimmies	Berenstain	F	Yellow	118	6	28	28		
The Best Birthday Present	Rigby Literacy 2000	F	Red	68	2	20	20		
The best cake	Rigby	F	Green	53	4	10	10	162	
The Best Children in the World	Wright Group	F	Orange	43	2	13	14		
The Best Christmas Pageant Ever	Harper Trophy	F	Purple	16	3				
The best hats	Rigby	F	Green	55	1	11	11		
The Best Older Sister	Yearling	F	Yellow	45	2	23	24	250	
The Best Part	Rigby PM Collection	F	Light Blue	67	6	30	30	854	
The Best Part	Rigby	F	Yellow	58	4	23	23		
The Best Place 	Literacy 2000	F	Green	35a	3	8	8		
The Big Bad Wolf	Rigby	F	Red	3	10	16	16		
The Big Barn	Dominie Press	F	Dark Blue	78b	5	3	4	81	
The Big Catch	Literacy Tree	F	Red	57	4	20	20	250	
The Big Green Caterpillar	Literacy 2000	F	Red	44	2	18	20	161	
The Big Hit	Rigby	F	Green	20	15	6	6	120	
The big kick	Rigby PM	F	Dark Blue	66	25	3	3	67	
The Big Roundup	Wright Group	F	Orange	14	1	12	12	121	
The Big Toe Robbery	Rigby	F	Yellow	113	12	28	28		
The Big Wave	Buck	F	Lime	59	9	40	40		
The big yellow castle	Rigby PM	F	Green	34	13	7	7	135	
The Big, Bad Cook	Literacy Tree	F	Red	68	8	20	20	250	
The Biggest Bear	Houghton Mifflin	F	Yellow	125	4	28	28		
The Biggest Cake in the World	Cowley	F	Green	41	9	9	9		
The Biggest Fish	Rigby PM	F	Orange	50	1	16	16	254	
The Bike Parade	Literacy Tree	F	Dark Blue	5	23	1	1	16	
The Bird Table	Wright Group	F	Orange	44	3	14	14		
The Bird That Could Think	Rigby	F	Red	18	5	17	17		
The Birthday Cake	Literacy Tree	F	Green	1	21	5	6	27	
The Black Pearl	Dell	F	Purple	48	4				
The Black Stallion	Random House	F	Lime	6	6				
The Blood Country	Collier	F	Neon Red		1				
The Blossoms and the Green Phantom	Dell	F	Lime	35	5				
The Blossoms Meet the Vulture Lady	Dell	F	Purple	29	5				
The Boogly	Literacy Tree	F	Green	34	19	7	8	61	
The Borrowers	Trumpet	F	Lime	2	7				
The Borrowers Afloat	Scholastic	F	Purple	26	3				
The Boxcar Children - Benny Uncovers A Mystery	Warner	F	Light Blue	57	5	36	37	250	
The Boxcar Children - Benny Under Covers a Mystery 	Warner	F	Light Blue	50	2	36	37	250	
The Boxcar Children - Blue Bay Mystery	Warner	F	Light Blue	57	3	36	37	250	
The Boxcar Children - Houseboat Mystery	Warner	F	Light Blue	57	2	36	37	250	
The Boxcar Children - Mystery Behind the Wall #17	Warner	F	Light Blue	57	2	36	37	250	
The Boxcar Children - Mystery in the Sand	Warner	F	Light Blue	56	1	36	37	250	
The Boxcar Children - Mystery Ranch	Warner	F	Light Blue	57	1	36	37	250	
The Boxcar Children - School House Mystery	Warner	F	Light Blue	56	2	36	37	250	
The Boxcar Children - Schoolhouse Mystery	Warner	F	Light Blue	56	2	36	37	250	
The Boxcar Children - Snowbound Mystery	Warner	F	Light Blue	56	1	36	37	250	
The Boxcar Children - Surprise Island #2	Warner	F	Light Blue	51	5	36	37	250	
The Boxcar Children - The Amusement Park Mystery	Warner	F	Light Blue	52	2	36	37	250	
The Boxcar Children - The Animal Shelter Mystery	Warner	F	Light Blue	51	1	36	37	250	
The Boxcar Children - The Camp-Out Mystery #27	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Castle Mystery #36	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Chocolate Sundae Mystery #40	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Deserted Library Mystery	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Disappearing Friend Mystery	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Guide Dog Mystery	Warner	F	Light Blue	52	1	36	37	250	
The Boxcar Children - The Haunted Cabin Mystery #20	Warner	F	Light Blue	57	2	36	37	250	
The Boxcar Children - The Lighthouse Mystery	Warner	F	Light Blue	53	2	36	37	250	
The Boxcar Children - The Mystery at The Ball #4	Warner	F	Light Blue	53	1	36	37	250	
The Boxcar Children - The Mystery at the Dog Show	Warner	F	Light Blue	54	2	36	37	250	
The Boxcar Children - The Mystery at the Fair #6	Warner	F	Light Blue	54	1	36	37	250	
The Boxcar Children - The Mystery Bookstore -#48	Warner	F	Light Blue	57	7	36	37	250	
The Boxcar Children - The Mystery Girl	Warner	F	Light Blue	54	1	36	37	250	
The Boxcar Children - The Mystery Horse	Warner	F	Light Blue	54	2	36	37	250	
The Boxcar Children - The Mystery in the San Francisco #57	Warner	F	Light Blue	55	1	36	37	250	
The Boxcar Children - The Mystery in the Snow #32	Warner	F	Light Blue	55	2	36	37	250	
The Boxcar Children - The Mystery in Washington, D.C. #2 special	Warner	F	Light Blue	56	2	36	37	250	
The Boxcar Children - The Mystery of the Hidden Painting #24	Warner	F	Light Blue	54	2	36	37	250	
The Boxcar Children - The Mystery of the Hot Air Balloon #47	Warner	F	Light Blue	54	1	36	37	250	
The Boxcar Children - The Mystery of the Mixed-up Zoo	Warner	F	Light Blue	55	1	36	37	250	
The Boxcar Children - The Mystery of the Purple Pool	Warner	F	Light Blue	55	1	36	37	250	
The Boxcar Children - The Mystery of the Queen's Jewels	Warner	F	Light Blue	55	1	36	37	250	
The Boxcar Children - The Mystery of the Secret Message #55	Warner	F	Light Blue	55	1	36	37	250	
The Boxcar Children - The Mystery of the Singing Ghost #34	Warner	F	Light Blue	56	2	36	37	250	
The Boxcar Children - The Mystery of the Stolen Music	Warner	F	Light Blue	56	9	36	37	250	
The Boxcar Children - The Wood Shed Mystery	Warner	F	Light Blue	56	1	36	37	250	
The Boxcar Children - The Yellow House Mystery #3	Warner	F	Light Blue	56	1	36	37	250	
The Boxcar Children #1	Warner	F	Light Blue	52	13	36	37	250	
The Boxcar Children -Mike's Mystery #5 	Warner	F	Light Blue	50	6	36	37	250	
The Boxcar Children -The Boxcar Children #1	Warner	F	Light Blue	50	4	36	37	250	
The Boxcar Children- The Canoe Trip Mystery	Warner	F	Light Blue	52	2	36	37	250	
The Boxcar Children -The Woodshed Mystery #7	Warner	F	Light Blue	52	1	36	37	250	
The Boy Who Cried Wolf	Rigby Literacy 2000	F	Light Blue		1	24	24	250	
The Boy Who Cried Wolf	Literacy Tree	F	Yellow	66	2	23	24	250	
The Boy Who Saved Baseball	Scholastic	F	Lime	67	1	44	44		
The Boy With the Helium Head	Naylor	F	Yellow	99	1	28	28		
The Bravest Dog Ever The True Story of Balto	Random House	F	Yellow	117	1	28	28		
The broken flower pot	Rigby PM	F	Green	35	1	8	8		
The broken flower pot	Rigby	F	Orange	3A	4	11	11		
The Bull and the Matador	Shortland Publication	F	Orange	17	1	12	12		
The bumper cars	Rigby PM	F	Dark Blue	93	15	4	4	94	
The Bush Bunyip	Mondo	F	Yellow	6	7	18	20	396	
The Busy Beavers	Rigby	F	Red	6	1	17	17	250	
The Cabbage Princess	Literacy Tree	F	Yellow	23	1	21	22	250	
The Cabin Faced West	Trumpet	F	Purple	79	3				
The Cabin in the Hills	Rigby	F	Red	44	7	18	20	349	
The Canning Season	First Avenue Edition	F	Light Blue	7	32				
The Car Ride	Sundance	F	Dark Blue	14	7	1	1	41	
The Carnival Horse	Rigby	F	Red	59	8	20	20		
The Case of the Disappearing Kidnapped	Perfection	F	Light Blue	36	6				
The Case of the Missing Emeralds	Perfection Learning	F	Light Blue	78	5	36	37		
The Case of the Missing Planet	Book Treks	F	Light Blue	29	6	30	30		
The Case of the Two Masked Robbers	Harper	F	Yellow	21	3	21	22	250	
The Case of the Vanishing Cat	Perfection Learning	F	Light Blue	78	8	36	37		
The Cat and The Dog	Literacy Tree	F	Orange	42	5	14	14	248	
The Cat Who Went to Heaven	Scholastic	F	Lime	64	4	40	40		
The Cats' Burglar	Parish	F	Yellow	22	8	21	22		
The Cave	Wright Group	F	Dark Blue	90	1	3	4	67	
The Cave	Book Blazers	F	Lime	22	11	40	50		
The Cay	Avon	F	Purple	1	17				
The Celery Stalks at Midnight	Howe	F	Light Blue	32	2	38	38		
The Chasing Game	Literacy Tree	F	red	70	1	20	20	250	
The Chick and the Duckling	Aladdin Books	F		8a	4	5	6	112	
The Chocolate Cake	Rigby	F	Red	42	5	19	19		
The Chocolate Farm	Book Treks	F	Lime	50	4				
The Chocolate Touch	Yearling	F	Light Blue	83	3	30	34		
The Christmas Tree	Rigby	F	Green	58	3	10	10	163	
The Circus Clown	Literacy 2000	F	Dark Blue	86	27	4	4	31	
The Circus Detective	ETA Cuisenaire Book Blazers	F	Lime	25	11	40	40		
The Circus Train	Sundance	F	Dark Blue	14	7	1	1	48	
The City of Rome	Literacy Tree	F	Yellow	4	2	18	20	169	
The classroom caterpillar	Rigby PM	F	Orange	17	3	13	13		
The Clever Crow	Rigby	F	Orange	28	4	13	13		
The clever Penguins	Rigby	F	Orange	13	4	12	12	174	
The Cloud Book	Scholastic	F	Light Blue	71	5	30	34		
The Clown	Rigby Smart Start	F	Dark Blue	15	8	1	1	13	
The Clown	Kaeden Group	F	Dark Blue	27	4	2	2	29	
The Copper Lady	Ross	F	Light Blue	23					
The Courage of Sarah Noble	Macmillian	F	Light Blue	57	1				
The Creature of Cassidy's Creek	Rigby	F	Yellow	81	2	25	25		
The Creature of Cassidy's Creek	Rigby	F	Yellow	81	2	25	25		
The Cricket in Times Square	Selden	F	Lime	61	10	40	40		
The Cricket in Times Square	Dell	F	Neon Red	10	4				
The cross-country race	Rigby	F	Orange	40	1	14	14		
The Crystal Unicorn	Rigby	F	Yellow	86	3	26	26		
The Cyril War	Scholastic	F	Lime	40	8				
The Daily Meow	Rigby	F	Red	58	4	20	20		
The Dancing Dragon	Mondo	F	Orange	30	1	14	14		
The Day It Rained Forever	Puffin	F	Purple	no bx	13				
The Deer and the Crocodile	Literacy Tree	F	Orange	11	4	12	12	178	
The Desert	Carousel readers	F	Dark Blue	61	1	3	3		
The Dinosaur's Cold	Literacy 2000	F	Orange	37	14	14	14	149	
The Disappearing Dog Trick	Scholastic	F	Lime	30	3				
The Dollhouse Murders	Scholastic	F	Purple	52	2				
The Dolphin Caller	Rigby	F	Light Blue	2					
The Dolphin on the Wall	Rigby	F	Yellow	67	10	23	23		
The Donkey in the Lion's Skin	Wright Group	F	Orange	10	4	12	12		
The Door in the Wall	de Angeli	F	Lime	60	14				
The Dragon Who Had Measles	Rigby	F	Red	25	4	18	20	250	
The Dragon Who Had the Measles	Liteacy Tree	F	Yellow	6	2	18	20	250+	
The Dragons Birthday	Literacy Tree	F	Yellow	74	4	24	24	250	
The Dressing-Up Box	Wright	F		78c	4	3	4	61	
The Drummers	Kaeden Group	F	Green	20	4	13	13		
The Duck in the Gun	Literacy Tree	F	Light Blue	10	3				
The duck with a broken wing	Rigby	F	Green	55	3	10	10	189	
The Duck with the Broken Wing	Rigby	F	Green	45	7	9	10	189	
The Ear, the Eye, the Arm	Puffin	F	Purple	50	2				
The Egg Saga	Rigby	F	Red	64	4	20	20		
The Egypt Game	Dell	F	Neon Red	13	1				
The Egyptian Collar Mystery	Book Treks	F	Purple	13	6				
The Elves and the Shoemaker	Gage Publishers	F	Yellow	tales	10				
The Endless Steppe	Harper 	F	Neon Red	12	7				
The Enormous Egg	Dell	F	Lime	10	8				
The Enormous Watermelon	Rigby	F	Orange	tales	3	14	14		
The Everybody Bicycle	Cowley	F	Yellow	23	3	22	22		
The Fairy Rebel	Banks, Lynne	F	Light Blue	32	14				
The Falcon	Rigby	F	Yellow	83	1	25	25		
The Family Under the Bridge	Scholastic	F	Lime	9	5				
The Far Side of the Mountain	Trumpet	F	Purple	18	1				
The Farm	Rigby Smart Start	F	Dark Blue	5	5	1	1	14	
The Farm	Literacy Tree	F	Dark Blue	5	22	1	1	14	
The farm in spring	Rigby	F	Dark Blue	89	43	4	4	77	
The Fastest Gazelle	Literacy Tree	F	Green	28a	1	7	8	146	
The fawn in the forest	Rigby	F	Orange	34	13	14	14		
